Emp_ID,Emp_Fname,Emp_Lname,Position ,StartDate, Salary  ,Emp_Street ,Emp_City,Emp_State,Emp_email,Emp_phone,Emp_LOC,SSN
7298491,Edward,Wheeler,Shift Leader,7/17/2020, $13.00 ,Baker Way,San Bernadino,California ,rddesign@sbcglobal.net,(291) 249-9863,C001,462644219
9665709,Annabel,Pope,Team Member ,3/16/2020, $11.00 ,Fife Oaks,Sacramento,California ,sfoskett@outlook.com,(259) 425-3551,B001,452576047
1964963,Denise,Hardy,Shift Leader,2/14/2020, $13.00 ,Macdonald Moor,Santa Cruz,California ,cremonini@gmail.com,(369) 274-9887,B003,848649116
6928765,Jane,Santos,Team Member ,5/3/2021, $12.00 ,Admirals Wynd,Pleasant Hill,California ,tsuruta@aol.com,(484) 739-6146,B004,93335355
9396632,Irene,Orr,Team Member ,10/16/2021, $11.00 ,Oldfield Orchard,San Bernadino,California ,hellfire@mac.com,(402) 490-2904,C001,809601566
2093903,Emeline,Ryan,Team Member ,4/10/2020, $14.00 ,Gleneagles Ride,San Jose,California ,bowmanbs@live.com,(467) 460-7939,B002,803822848
4373702,Jax,Johnson,Team Member ,7/1/2020, $11.00 ,Repton Lanes,Sacramento,California ,geoffr@gmail.com,(279) 541-4311,B001,419021321
3264890,Anthony,House,Shift Leader,11/18/2021, $13.00 ,Fulford By-Pass,San Bernadino,California ,bmorrow@comcast.net,(495) 930-3876,C001,602543701
5442436,Vivian,Whitaker,District Manager,9/12/2020, $16.00 ,St Anthony,San Jose,California ,sbmrjbr@aol.com,(560) 702-6276,B002,826899552
469391,Quintin,Tanner,District Manager,3/10/2021, $16.00 ,Rosebery Way,Pleasant Hill,California ,camenisch@icloud.com,(470) 818-4940,B004,464039727
1615812,Dean,Chavez,District Manager,11/14/2021, $16.00 ,Fryston,Santa Cruz,California ,bebing@verizon.net,(610) 438-5688,B003,774094977
1702539,Breean,Burgess,Team Member ,7/26/2021, $14.00 ,Edith Top,Santa Cruz,California ,chinthaka@live.com,(733) 859-4414,B003,163034338
521781,Wade,Leblanc,District Manager,10/12/2019, $16.00 ,Pitt Copse,Pleasant Hill,California ,ducasse@yahoo.ca,(494) 547-8429,B004,163822626
4570120,Nicolas,Mcgee,Store Manager,3/31/2019, $14.00 ,Lizard Head,Pleasant Hill,California ,dwendlan@yahoo.ca,(920) 591-0791,B004,685189272
4054992,Susannah,Woodard,Team Member ,12/14/2020, $10.00 ,Lynmore Close,Sacramento,California ,aardo@aol.com,(925) 749-4872,B001,795279709
2406776,Evony,Noble,Team Member ,4/19/2020, $10.00 ,Ingleby Las,Pleasant Hill,California ,crowemojo@sbcglobal.net,(374) 707-3655,B004,220491183
9129449,Vanessa,Rasmussen,Shift Leader,8/19/2019, $13.00 ,Brook Mead,San Jose,California ,singh@att.net,(399) 276-2205,B002,324392483
2861720,Hope,Dixon,Team Member ,8/18/2019, $14.00 ,Jersey Covert,Santa Cruz,California ,rddesign@outlook.com,(655) 618-9529,B003,344991778
5484029,Karilyn,Reed,Team Member ,3/16/2019, $11.00 ,Alnwick Walk,Sacramento,California ,conteb@verizon.net,(244) 835-3605,B001,708696258
1748462,Lilibeth,Rodriguez,Team Member ,4/12/2021, $15.00 ,Brunel Oval,Sacramento,California ,uncle@yahoo.com,(517) 728-1564,B001,703944416
5823223,Rylie,Yang,Team Member ,6/21/2020, $12.00 ,Cygnet Isaf,San Bernadino,California ,atmarks@yahoo.com,(370) 203-6773,C001,571462996
6890953,Isaiah,Hutchinson,Team Member ,8/23/2020, $11.00 ,Walpole Lawns,Sacramento,California ,linuxhack@hotmail.com,(639) 581-8142,B001,767963619
6429814,Blake,Norris,Team Member ,12/13/2021, $12.00 ,Tintern Brambles,Santa Cruz,California ,pmint@verizon.net,(299) 594-6408,B003,734885421
4761523,Gwendolen,Rosario,Shift Leader,4/22/2019, $13.00 ,Stilton Close,San Jose,California ,overbom@yahoo.com,(669) 475-6697,B002,488554227
,,,,,,,,,,,,
,,,,,,,,,,,,
